method,graph_index,query_sql,estimated_cardinality,true_cardinality,q_error,avg_q_error,median_q_error
SA,1,SELECT * FROM wetgrass_data WHERE wetgrass = 'f',20.862,18,1.1589999999999998,1.0633092783505154,1.0309278350515465
SA,1,SELECT * FROM wetgrass_data WHERE rain = 'f' AND wetgrass = 'f',20.862,18,1.1589999999999998,1.0633092783505154,1.0309278350515465
SA,1,SELECT * FROM wetgrass_data WHERE sprinkler = 'off' AND rain = 'f' AND wetgrass = 'f',20.862,18,1.1589999999999998,1.0633092783505154,1.0309278350515465
SA,1,SELECT * FROM wetgrass_data WHERE cloud = 'f' AND sprinkler = 'off' AND rain = 'f',8.54,10,1.1709601873536302,1.1828371338797907,1.1709601873536302
SA,1,SELECT * FROM wetgrass_data WHERE cloud = 't' AND sprinkler = 'on' AND rain = 'f',3.66,2,1.83,1.67129,1.83
SA,1,SELECT * FROM wetgrass_data WHERE cloud = 't' AND sprinkler = 'off' AND rain = 't' AND wetgrass = 'f',0.0,0,0.0,0.0,0.0
SA,2,SELECT * FROM wetgrass_data WHERE wetgrass = 'f',18.0,18,1.0,1.0633092783505154,1.0309278350515465
SA,2,SELECT * FROM wetgrass_data WHERE rain = 'f' AND wetgrass = 'f',18.0,18,1.0,1.0633092783505154,1.0309278350515465
SA,2,SELECT * FROM wetgrass_data WHERE sprinkler = 'off' AND rain = 'f' AND wetgrass = 'f',18.0,18,1.0,1.0633092783505154,1.0309278350515465
SA,2,SELECT * FROM wetgrass_data WHERE cloud = 'f' AND sprinkler = 'off' AND rain = 'f',7.36842,10,1.357143051020436,1.1828371338797907,1.1709601873536302
SA,2,SELECT * FROM wetgrass_data WHERE cloud = 't' AND sprinkler = 'on' AND rain = 'f',3.96774,2,1.98387,1.67129,1.83
SA,2,SELECT * FROM wetgrass_data WHERE cloud = 't' AND sprinkler = 'off' AND rain = 't' AND wetgrass = 'f',0.0,0,0.0,0.0,0.0
SA,3,SELECT * FROM wetgrass_data WHERE wetgrass = 'f',17.46,18,1.0309278350515465,1.0633092783505154,1.0309278350515465
SA,3,SELECT * FROM wetgrass_data WHERE rain = 'f' AND wetgrass = 'f',17.46,18,1.0309278350515465,1.0633092783505154,1.0309278350515465
SA,3,SELECT * FROM wetgrass_data WHERE sprinkler = 'off' AND rain = 'f' AND wetgrass = 'f',17.46,18,1.0309278350515465,1.0633092783505154,1.0309278350515465
SA,3,SELECT * FROM wetgrass_data WHERE cloud = 'f' AND sprinkler = 'off' AND rain = 'f',9.8,10,1.020408163265306,1.1828371338797907,1.1709601873536302
SA,3,SELECT * FROM wetgrass_data WHERE cloud = 't' AND sprinkler = 'on' AND rain = 'f',2.4,2,1.2,1.67129,1.83
SA,3,SELECT * FROM wetgrass_data WHERE cloud = 't' AND sprinkler = 'off' AND rain = 't' AND wetgrass = 'f',0.0,0,0.0,0.0,0.0
