method,graph_index,query_sql,estimated_cardinality,true_cardinality,q_error,avg_q_error,median_q_error
SQA,1,SELECT * FROM movie_link WHERE link_type_id = 6,5503.0,5503,1.0,1.0,1.0
SQA,1,SELECT * FROM movie_link WHERE movie_id = 132249 AND link_type_id = 6,410.0,410,1.0,1.0,1.0
SQA,1,SELECT * FROM movie_link WHERE movie_id = 132249 AND linked_movie_id = 1715497 AND link_type_id = 13,0.01406,1,71.12375533428165,71.12375533428165,71.12375533428165
SQA,1,SELECT * FROM movie_link WHERE movie_id = 132249 AND linked_movie_id = 1715497,1.0,1,1.0,1.0,1.0
SQA,1,SELECT * FROM movie_link WHERE movie_id = 132249 AND link_type_id = 5,0.0,0,0.0,0.0,0.0
SQA,1,SELECT * FROM movie_link WHERE movie_id = 50 AND linked_movie_id = 257907 AND link_type_id = 6,2143.98519,1,2143.98519,2143.98519,2143.98519
SQA,2,SELECT * FROM movie_link WHERE link_type_id = 6,5503.0,5503,1.0,1.0,1.0
SQA,2,SELECT * FROM movie_link WHERE movie_id = 132249 AND link_type_id = 6,410.0,410,1.0,1.0,1.0
SQA,2,SELECT * FROM movie_link WHERE movie_id = 132249 AND linked_movie_id = 1715497 AND link_type_id = 13,0.01406,1,71.12375533428165,71.12375533428165,71.12375533428165
SQA,2,SELECT * FROM movie_link WHERE movie_id = 132249 AND linked_movie_id = 1715497,1.0,1,1.0,1.0,1.0
SQA,2,SELECT * FROM movie_link WHERE movie_id = 132249 AND link_type_id = 5,0.0,0,0.0,0.0,0.0
SQA,2,SELECT * FROM movie_link WHERE movie_id = 50 AND linked_movie_id = 257907 AND link_type_id = 6,2143.98519,1,2143.98519,2143.98519,2143.98519
SQA,3,SELECT * FROM movie_link WHERE link_type_id = 6,5503.0,5503,1.0,1.0,1.0
SQA,3,SELECT * FROM movie_link WHERE movie_id = 132249 AND link_type_id = 6,410.0,410,1.0,1.0,1.0
SQA,3,SELECT * FROM movie_link WHERE movie_id = 132249 AND linked_movie_id = 1715497 AND link_type_id = 13,0.01406,1,71.12375533428165,71.12375533428165,71.12375533428165
SQA,3,SELECT * FROM movie_link WHERE movie_id = 132249 AND linked_movie_id = 1715497,1.0,1,1.0,1.0,1.0
SQA,3,SELECT * FROM movie_link WHERE movie_id = 132249 AND link_type_id = 5,0.0,0,0.0,0.0,0.0
SQA,3,SELECT * FROM movie_link WHERE movie_id = 50 AND linked_movie_id = 257907 AND link_type_id = 6,2143.98519,1,2143.98519,2143.98519,2143.98519
