Cloud,Sprinkler,Rain,WetGrass
f,on,f,t
f,on,f,t
f,off,t,t
f,on,f,t
t,off,t,t
f,on,t,t
f,on,t,t
f,on,f,t
f,on,f,t
f,on,t,t
t,on,t,t
f,on,f,t
f,on,t,t
t,off,t,t
t,on,t,t
f,on,f,t
t,off,t,t
f,on,t,t
f,on,t,t
f,on,f,t
f,on,f,t
f,on,t,t
f,on,f,t
f,on,f,t
f,on,f,t
t,off,t,t
f,off,f,f
t,off,t,t
f,off,f,f
f,on,f,t
t,off,f,f
f,on,f,t
f,off,f,f
f,on,f,t
t,off,t,t
f,on,f,t
f,off,f,f
t,off,f,f
f,on,f,t
f,on,t,t
f,off,f,f
f,on,f,t
f,on,f,t
t,on,t,t
t,off,f,f
f,on,f,t
f,on,t,t
t,on,t,t
f,on,t,t
f,on,f,t
f,on,t,t
t,on,f,t
f,on,f,t
t,off,t,t
t,off,f,f
f,off,f,f
f,off,t,t
f,on,f,t
t,off,f,f
f,on,t,t
f,off,t,t
f,on,f,t
t,off,f,f
f,on,f,t
f,off,t,t
t,on,t,t
t,off,t,t
f,on,t,t
f,on,f,t
f,off,f,f
t,off,f,f
f,on,f,t
f,on,t,t
f,on,f,t
f,on,f,t
f,on,f,t
t,on,f,t
f,on,f,t
f,on,t,t
t,off,t,t
t,on,f,t
t,off,f,f
f,on,t,t
f,on,f,t
f,off,f,f
t,on,f,t
f,off,f,f
f,off,t,t
t,off,t,t
f,off,f,f
f,off,f,f
f,on,f,t
f,off,f,f
f,on,f,t
t,off,t,t
f,on,f,t
f,on,f,t
t,off,t,t
f,off,f,t
f,on,f,t
