startYear_bin,runtime_bin,avgRating_bin,numVotes_bin
modern,short,mid,low
modern,medium,mid,low
recent,short,high,low
modern,long,high,high
old,short,low,mid
recent,long,mid,mid
modern,short,mid,high
recent,short,high,high
recent,short,high,low
mid,short,mid,mid
old,medium,low,high
recent,medium,mid,high
modern,medium,mid,high
mid,medium,high,low
recent,medium,mid,high
recent,medium,high,high
recent,short,low,low
mid,medium,mid,high
old,medium,mid,high
modern,long,mid,high
old,short,low,mid
modern,medium,mid,mid
mid,medium,mid,high
recent,medium,low,high
modern,medium,low,mid
recent,short,low,mid
mid,medium,low,mid
modern,medium,mid,high
mid,long,mid,low
old,short,high,high
old,short,low,mid
mid,long,low,mid
recent,medium,high,low
recent,medium,high,low
recent,medium,low,mid
recent,medium,high,mid
mid,medium,mid,high
mid,medium,low,high
modern,short,mid,mid
modern,long,low,low
recent,short,high,low
recent,long,high,high
mid,medium,high,low
old,medium,mid,mid
recent,short,mid,low
recent,short,mid,low
modern,short,mid,mid
recent,medium,mid,mid
recent,short,mid,low
mid,long,mid,high
mid,medium,mid,mid
mid,short,mid,low
recent,long,mid,mid
mid,medium,low,mid
recent,short,high,low
mid,long,high,mid
modern,short,high,mid
mid,short,mid,mid
mid,short,high,low
mid,short,mid,low
modern,medium,mid,high
recent,long,mid,high
recent,short,mid,high
mid,medium,high,high
old,short,mid,mid
old,medium,low,mid
old,medium,low,mid
old,long,mid,mid
old,medium,mid,low
recent,medium,mid,low
old,medium,mid,low
recent,short,mid,low
modern,medium,high,low
recent,medium,mid,high
mid,medium,mid,high
mid,short,high,mid
modern,medium,low,high
modern,medium,low,mid
recent,medium,low,mid
modern,medium,mid,high
old,medium,mid,low
recent,short,high,low
recent,medium,high,low
mid,short,low,low
old,medium,mid,low
recent,medium,high,high
mid,long,high,mid
recent,short,high,mid
mid,medium,mid,high
recent,medium,mid,mid
modern,medium,low,high
mid,medium,high,low
recent,medium,low,high
old,medium,low,mid
old,short,mid,mid
recent,short,high,mid
recent,medium,high,low
recent,short,high,low
recent,medium,low,mid
old,short,mid,mid
recent,medium,low,mid
recent,medium,mid,high
mid,short,mid,low
recent,medium,low,high
mid,long,high,high
recent,medium,mid,mid
mid,short,mid,mid
modern,short,high,mid
recent,medium,mid,low
recent,medium,mid,low
old,medium,mid,mid
recent,short,low,high
modern,short,low,low
old,medium,mid,mid
old,medium,high,low
mid,medium,mid,low
modern,medium,mid,mid
modern,short,high,low
old,medium,low,high
recent,medium,high,mid
old,medium,mid,high
old,medium,low,mid
recent,short,low,high
mid,short,mid,low
modern,short,high,mid
mid,medium,mid,mid
modern,medium,mid,low
recent,medium,mid,high
mid,medium,low,mid
modern,short,high,low
recent,medium,high,mid
recent,medium,mid,high
old,short,mid,mid
mid,medium,low,mid
recent,medium,mid,mid
old,short,mid,mid
recent,medium,mid,mid
old,short,mid,mid
modern,medium,high,mid
modern,medium,mid,high
recent,medium,mid,mid
old,short,high,mid
recent,medium,mid,low
modern,short,high,low
old,short,mid,mid
old,short,mid,low
recent,short,high,mid
recent,medium,high,mid
recent,long,mid,low
modern,medium,mid,low
mid,short,high,low
old,medium,high,low
modern,long,mid,low
modern,medium,high,mid
recent,medium,mid,high
old,medium,high,mid
old,short,high,high
recent,long,mid,high
mid,medium,mid,high
modern,short,low,low
recent,short,high,low
modern,short,mid,high
old,medium,high,high
recent,medium,high,mid
recent,short,high,high
recent,short,low,mid
modern,medium,mid,high
modern,short,high,mid
recent,medium,mid,mid
recent,short,high,low
recent,medium,mid,high
recent,medium,low,mid
old,short,high,low
recent,short,high,low
mid,short,low,low
mid,medium,mid,mid
old,short,low,mid
old,medium,high,high
recent,medium,high,mid
old,short,low,low
recent,short,mid,mid
recent,short,mid,mid
modern,medium,low,low
old,short,high,mid
recent,medium,low,mid
old,short,high,low
modern,medium,high,low
old,medium,high,low
recent,medium,mid,high
modern,short,low,low
old,short,mid,mid
old,short,mid,high
recent,medium,low,low
mid,medium,mid,high
recent,medium,high,low
recent,medium,low,mid
recent,medium,mid,low
modern,medium,mid,high
old,medium,low,mid
recent,medium,high,low
old,medium,mid,high
recent,short,high,high
recent,long,mid,mid
recent,short,high,mid
old,short,high,mid
old,medium,high,mid
old,medium,low,high
recent,long,high,mid
old,medium,mid,high
recent,medium,high,high
recent,short,high,mid
old,medium,low,mid
old,short,high,mid
modern,medium,mid,high
mid,medium,low,high
recent,short,mid,high
recent,short,mid,high
old,medium,high,low
recent,medium,mid,mid
old,short,low,high
recent,medium,mid,mid
old,medium,low,low
mid,short,high,low
old,short,mid,mid
recent,long,mid,low
recent,short,mid,low
recent,short,mid,low
mid,medium,mid,low
recent,short,mid,mid
old,short,low,mid
recent,short,high,high
recent,medium,mid,high
recent,short,high,mid
recent,short,mid,low
modern,long,mid,high
mid,short,high,low
recent,medium,low,high
modern,short,high,mid
recent,medium,mid,low
recent,medium,mid,low
recent,short,mid,low
old,short,mid,high
recent,short,low,low
recent,medium,mid,low
recent,long,low,high
modern,long,mid,high
modern,medium,mid,low
modern,medium,low,high
mid,short,high,low
recent,medium,mid,high
old,short,mid,mid
recent,long,mid,mid
modern,medium,mid,low
recent,medium,mid,mid
mid,short,high,mid
modern,medium,low,low
modern,medium,low,high
recent,medium,high,low
recent,medium,high,high
modern,short,high,high
old,short,mid,mid
recent,medium,high,high
recent,short,high,low
old,short,mid,low
recent,medium,low,mid
recent,medium,mid,mid
recent,medium,high,mid
mid,short,high,mid
recent,medium,mid,high
mid,short,mid,high
mid,long,high,high
recent,long,mid,low
recent,long,high,low
recent,medium,low,high
recent,short,high,low
recent,short,mid,low
old,short,high,low
recent,short,mid,low
modern,short,high,mid
recent,medium,mid,mid
recent,medium,high,low
old,medium,mid,mid
recent,long,low,high
recent,short,mid,mid
recent,medium,mid,mid
modern,medium,mid,mid
recent,short,mid,low
old,medium,low,mid
modern,medium,high,low
modern,long,low,high
old,long,mid,low
recent,short,high,low
modern,medium,mid,high
modern,medium,low,high
old,medium,mid,high
old,short,low,mid
old,short,mid,low
recent,short,mid,low
recent,medium,high,low
recent,medium,low,high
old,medium,mid,high
mid,medium,high,low
modern,short,low,high
mid,medium,high,high
modern,short,high,mid
mid,medium,mid,low
modern,short,mid,mid
modern,medium,low,high
modern,medium,mid,high
mid,medium,mid,high
mid,short,low,low
recent,medium,low,high
recent,medium,mid,high
old,short,mid,mid
recent,medium,low,high
modern,short,high,mid
recent,medium,mid,high
modern,medium,high,low
recent,short,high,low
recent,medium,mid,high
modern,medium,high,high
recent,medium,low,high
old,short,mid,high
recent,short,mid,low
old,medium,high,low
recent,short,low,mid
mid,short,mid,mid
modern,medium,low,mid
recent,medium,high,high
old,short,mid,mid
old,short,low,high
recent,medium,mid,high
recent,short,high,low
recent,short,low,mid
recent,long,high,low
recent,short,mid,high
old,short,high,high
recent,long,high,mid
modern,medium,high,high
mid,medium,low,mid
modern,short,high,mid
recent,medium,mid,high
mid,short,low,low
recent,medium,mid,high
mid,short,low,high
recent,medium,mid,high
mid,medium,mid,low
old,medium,mid,mid
recent,medium,mid,mid
recent,short,mid,low
recent,medium,mid,high
recent,medium,mid,high
old,short,low,low
modern,medium,mid,high
old,short,high,low
recent,short,high,low
modern,medium,mid,high
recent,short,low,low
modern,medium,low,low
recent,medium,high,low
recent,medium,low,high
modern,short,high,low
old,medium,high,low
recent,short,high,low
mid,short,high,high
recent,short,high,low
old,long,high,mid
recent,medium,low,high
mid,medium,high,low
recent,medium,high,low
old,medium,mid,mid
recent,short,high,mid
mid,medium,mid,low
recent,short,high,low
modern,medium,mid,high
recent,short,mid,mid
recent,medium,low,mid
modern,short,mid,low
mid,medium,high,mid
mid,medium,mid,mid
recent,medium,high,mid
recent,short,mid,low
modern,medium,high,high
old,short,low,mid
old,short,low,high
recent,medium,low,high
old,medium,high,low
old,medium,mid,low
recent,medium,mid,mid
old,short,high,low
modern,medium,mid,mid
recent,medium,mid,mid
recent,medium,mid,high
modern,medium,low,high
old,long,mid,low
mid,medium,mid,mid
mid,medium,mid,high
recent,short,mid,low
recent,medium,low,mid
recent,medium,mid,mid
old,medium,low,high
old,medium,low,low
old,short,high,high
recent,medium,mid,mid
modern,short,high,low
recent,medium,low,mid
modern,short,mid,low
recent,short,mid,low
recent,medium,low,mid
recent,short,high,mid
modern,medium,low,high
old,short,low,low
old,short,low,mid
recent,short,high,high
recent,long,high,low
old,medium,mid,low
modern,short,mid,mid
modern,short,mid,low
recent,short,high,high
recent,medium,mid,low
recent,medium,mid,mid
old,short,mid,low
old,medium,low,high
modern,short,high,low
modern,short,high,low
recent,short,high,low
modern,medium,mid,high
mid,short,high,mid
modern,short,low,high
recent,long,high,low
mid,short,mid,mid
recent,medium,mid,high
recent,medium,low,mid
